RK,Player,Pos,Team,BYE,Opp,PTS,SoS Rank,ADP (Underdog),P-RK,YPC,Rush,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,YPR,Rec/Tar Game,PASS YDS,PASS TD,INT,CMP%,ATT/ GM,QB YPC,PTS (Projections),YPC (Projections),Rush (Projections),RUSH YDS (Projections),RUSH TD (Projections),REC (Projections),REC YDS (Projections),REC TD (Projections),YPR (Projections),Rec/Tar Game (Projections),PASS YDS (Projections),PASS TD (Projections),INT (Projections),CMP% (Projections),ATT/ GM (Projections),QB YPC (Projections),Auction $,Target Round
13,Kenneth Walker III,RB,KC,5,DEN,176,22,13,RB8,4.6,221,1027,5,31,282,,9.1,1.8/2.1,,,,,,,259,4.4,277,1227,10,51,391,2,7.7,3.0/3.8,,,,,,,51,2.30
14,Justin Jefferson,WR,MIN,6,GB,160,2,11,WR6,3.5,2,7,,84,1048,2,12.5,4.9/8.3,,,,,,,247,4.2,2,7,,111,1430,8,12.9,6.5/9.9,,,,,,,48,2.40
15,Chase Brown,RB,CIN,6,TB,248,27,14,RB9,4.4,232,1019,6,69,437,5,6.3,4.1/5.2,,,,,,,256,4.4,237,1045,8,67,462,4,6.9,3.9/5.0,,,,,,,46,2.50
16,Omarion Hampton,RB,LAC,7,ARI,120,28,15,RB10,4.4,124,545,4,32,192,1,6.0,3.6/3.9,,,,,,,251,4.3,266,1149,11,49,340,2,6.9,2.9/3.5,,,,,,,44,2.60
17,De'Von Achane,RB,MIA,6,@LV,289,20,18,RB11,5.7,238,1350,8,67,488,4,7.3,4.2/5.3,,,,,,,259,4.9,246,1203,6,68,503,3,7.4,4.0/5.1,,,,,,,43,2.70
18,Drake London,WR,ATL,11,@PIT,168,15,23,WR7,,,,,68,919,7,13.5,5.7/9.3,,,,,,,219,,,,,95,1238,8,13.0,5.6/9.3,,,,,,,41,2.80
19,George Pickens,WR,DAL,14,@NYG,245,10,24,WR8,,,,,93,1429,9,15.4,5.5/8.1,,,,,,,217,,,,,85,1209,9,14.3,5.0/7.6,,,,,,,41,2.90
20,A.J. Brown,WR,NE,11,@SEA,181,28,19,WR9,,,,,78,1003,7,12.9,5.2/8.1,,,,,,,202,,,,,78,1150,8,14.7,4.6/7.5,,,,,,,40,3.00
21,Brock Bowers,TE,LV,13,MIA,144,18,20,TE1,1.0,2,2,,64,680,7,10.6,5.3/7.2,,,,,,,204,4.0,6,24,,99,1041,8,10.5,5.8/8.3,,,,,,,38,3.10
22,Nico Collins,WR,HOU,8,BUF,191,3,21,WR10,7.5,2,15,1,71,1117,6,15.7,4.7/8.0,,,,,,,212,6.5,2,11,,84,1206,8,14.4,4.9/7.9,,,,,,,38,3.20
